Address,Bedrooms,Bathrooms,Agent Name,Building,Price,Organization,Area Code,Phone Number,Property Type
"300 EVERGLADE WAY|Ottawa, Ontario K2M2R7",3 + 0,3,Abhishek Bhateja,House,"$699,900",ROYAL LEPAGE TEAM REALTY,613,863-3132,"$699,900"
"638 BLUEGILL AVENUE|Nepean, Ontario K2J5Y8",4 + 0,3,Miguel Levesque,Row / Townhouse,"$649,900",ONE PERCENT REALTY LTD.,613,219-6008,"$649,900"
"53 MOONBEAM STREET|Ottawa, Ontario K2J0K6",3 + 0,3,Shauna Moran,House,"$769,900",RE/MAX AFFILIATES BOARDWALK,613,868-9898,"$769,900"
"863 Boul. Wilfrid-Lavigne|Gatineau (Aylmer), Quebec J9J1Z2",4,2,Joanna Jasinska,House,"$445,000",RE/MAX VISION - Hull,819,351-5151,"$445,000"
"130 Ch. Fraser|#A|Gatineau (Aylmer), Quebec J9H3W7",2,1,Julie Séguin,Apartment,"$299,900",RE/MAX DIRECT INC.,819,923-7687,"$299,900"
"120 Ch. Fraser|#A|Gatineau (Aylmer), Quebec J9H0G8",2,1,Marty Waite,Apartment,"$299,900",RE/MAX DIRECT INC.,819,665-0033,"$299,900"
"884 Ch. Filion|L'Ange-Gardien, Quebec J8L0H4",4,1,Mélanie Séguin,House,"$299,900",RE/MAX VISION,819,210-2191,"$299,900"
"474 LAWLER CRESCENT|Ottawa, Ontario K4A3Y4",3 + 0,2,Matt Carkner,Row / Townhouse,"$484,500",RE/MAX DELTA REALTY TEAM,613,862-0862,"$484,500"
"1697 HARVEST CRESCENT|Ottawa, Ontario K1C1V3",4 + 0,2,Julie Serre-Matthews,Row / Townhouse,"$559,900",SUTTON GROUP - OTTAWA REALTY,613,806-4663,"$559,900"
"3719 WOODKILTON ROAD|Dunrobin, Ontario K0A3M0",,0,Hamid Riahi,,"$1,399,000",POWER MARKETING REAL ESTATE INC.,613,860-7355,"$1,399,000"
"3719 WOODKILTON ROAD|Dunrobin, Ontario K0A3M0",5 + 0,2,Hamid Riahi,House,"$1,399,000",POWER MARKETING REAL ESTATE INC.,613,860-7355,"$1,399,000"
"3815 NAVAN ROAD|Navan, Ontario K4B1H9",3 + 0,1,Josee Leger,House,"$599,000",GRAPE VINE REALTY INC.,613,668-5174,"$599,000"
"1433 WELLINGTON STREET W UNIT#503|Ottawa, Ontario K1Y2X4",2 + 0,2,Amy McGuire,Apartment,"$539,900",SUTTON GROUP - OTTAWA REALTY,613,883-6742,"$539,900"
